Fra_dato,Mængde,Måleenhed,Kvalitet,Type
11/01/2023 17.00,0.103472222222222,KWH,Målt,Tidsserie
11/01/2023 18.00,02.21,KWH,Målt,Tidsserie
11/01/2023 19.00,01.18,KWH,Målt,Tidsserie
11/01/2023 20.00,0.0513888888888889,KWH,Målt,Tidsserie
11/01/2023 21.00,0.0472222222222222,KWH,Målt,Tidsserie
11/01/2023 22.00,00.58,KWH,Målt,Tidsserie
11/01/2023 23.00,00.49,KWH,Målt,Tidsserie
12/01/2023 00.00,00.29,KWH,Målt,Tidsserie
12/01/2023 01.00,00.29,KWH,Målt,Tidsserie
12/01/2023 02.00,00.03,KWH,Målt,Tidsserie
12/01/2023 03.00,00.28,KWH,Målt,Tidsserie
12/01/2023 04.00,00.26,KWH,Målt,Tidsserie
12/01/2023 05.00,00.26,KWH,Målt,Tidsserie
12/01/2023 06.00,00.38,KWH,Målt,Tidsserie
12/01/2023 07.00,02.02,KWH,Målt,Tidsserie
12/01/2023 08.00,0.0673611111111111,KWH,Målt,Tidsserie
12/01/2023 09.00,01.46,KWH,Målt,Tidsserie
12/01/2023 10.00,02.01,KWH,Målt,Tidsserie
12/01/2023 11.00,01.02,KWH,Målt,Tidsserie
12/01/2023 12.00,02.48,KWH,Målt,Tidsserie
12/01/2023 13.00,0.09375,KWH,Målt,Tidsserie
12/01/2023 14.00,0.0576388888888889,KWH,Målt,Tidsserie
12/01/2023 15.00,0.0645833333333333,KWH,Målt,Tidsserie
12/01/2023 16.00,01.38,KWH,Målt,Tidsserie
12/01/2023 17.00,01.25,KWH,Målt,Tidsserie
12/01/2023 18.00,01.45,KWH,Målt,Tidsserie
12/01/2023 19.00,0.0666666666666667,KWH,Målt,Tidsserie
12/01/2023 20.00,0.0583333333333333,KWH,Målt,Tidsserie
12/01/2023 21.00,0.0548611111111111,KWH,Målt,Tidsserie
12/01/2023 22.00,00.05,KWH,Målt,Tidsserie
12/01/2023 23.00,0.0458333333333333,KWH,Målt,Tidsserie
13/01/2023 00.00,00.37,KWH,Målt,Tidsserie
13/01/2023 01.00,00.26,KWH,Målt,Tidsserie
13/01/2023 02.00,00.28,KWH,Målt,Tidsserie
